CAN,US,Virulence,Yr1,Yr5,Yr6,Yr7,Yr8,Yr9,Yr10,Yr15,Yr17,Yr24,Yr27,Yr32,Yr43,Yr44,YrSP,YrTr1,YrExp2,YrTye,
-,PSTv-064,"6,9",a,a,v,a,a,v,a,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-065,"6,10",a,a,v,a,a,a,v,a,a,a,a,a,a,a,a,a,a,a,
-,PSTv-066,"6,10,24,32",a,a,v,a,a,a,v,a,a,v,a,v,a,a,a,a,a,a,
-,PSTv-067,"6,10,17,24,32",a,a,v,a,a,a,v,a,v,v,a,v,a,a,a,a,a,a,
-,PSTv-068,"6,7,8,9,10,17,24,32,43,44,Tr1,Exp2",a,a,v,v,v,v,v,a,v,v,a,v,v,v,a,v,v,a,
-,PSTv-069,"6,7,8,9,10,17,27,32,43,44,Exp2",a,a,v,v,v,v,v,a,v,a,v,v,v,v,a,a,v,a,
-,PSTv-070,"6,17,Tye",a,a,v,a,a,a,a,a,v,a,a,a,a,a,a,a,a,v,
-,PSTv-071,"1,6,7,9,27,43,44,Exp2,Tye",v,a,v,v,a,v,a,a,a,a,v,a,v,v,a,a,v,v,
-,PSTv-074,"1,6,9,17,27,44,Tye",v,a,v,a,a,v,a,a,v,a,v,a,a,v,a,a,a,v,
-,PSTv-075,"6,7,8,17,43,44,Exp2",a,a,v,v,v,a,a,a,v,a,a,a,v,v,a,a,v,a,
-,PSTv-076,"1,6,7,8,9,17,27,43,44,Exp2",v,a,v,v,v,v,a,a,v,a,v,a,v,v,a,a,v,a,
-,PSTv-077,"1,6,9,17,44,SP,Tr1,Tye",v,a,v,a,a,v,a,a,v,a,a,a,a,v,v,v,a,v,
-,PSTv-078,"6,7,8,27,43,44,Exp2",a,a,v,v,v,a,a,a,a,a,v,a,v,v,a,a,v,a,
-,PSTv-079,"1,7,9,44",v,a,a,v,a,v,a,a,a,a,a,a,a,v,a,a,a,a,
-,PSTv-080,"1,6,7,8,27,43,44,Exp2",v,a,v,v,v,a,a,a,a,a,v,a,v,v,a,a,v,a,
-,PSTv-081,"1,6,7,8,9,10,17,24,27,43,44,Tr1,Exp2,Tye",v,a,v,v,v,v,v,a,v,a,a,v,a,v,a,a,v,v,
-,PSTv-082,"1,6,7,8,9,10,17,32,44,Exp2",v,a,v,v,v,v,v,a,v,a,a,v,a,v,a,a,v,a,
-,PSTv-083,"1,6,7,8,9,17,24,27,43,44,Tr1,Exp2,Tye",v,a,v,v,v,v,a,a,v,v,v,a,v,v,a,v,v,v,
